Name,Study,Query_Num,Is_CS,Phase,Mode,Dataset,Question,Transcript_X,Transcript_Y,SQL_Translation,Context,Answer,Flight_Score,Credit_Score
P0,MS1,3,Y,E1,Written,Flight,What is the 99th percentile of the distance travelled,NA,NA,SELECT PERCENTILE_CONT(0.99) WITHIN GROUP(ORDER BY Distance) FROM Flight,0,"Unknown identifier: ""99th percentile""",3.5,7.5
P0,MS1,9,Y,E1,Written,Flight,How many flights were cancelled in December,NA,NA,SELECT COUNT(*) FROM Flight WHERE Cancelled = 1 AND Month = 12,0,There were 17819 cancelled flights in December.,3.5,7.5
P0,MS1,2,Y,E1,Written,Flight,What was the average delay time of a flight,NA,NA,SELECT AVG(Departure_Time - Scheduled_Departure) FROM Flight,0,The average delay length of a flight was 10.89 minutes.,3.5,7.5
P0,MS1,15,Y,E1,Written,Flight,How many planes have the departure date 0513,NA,NA,NP,0,"Unknown identifier: ""0513""",3.5,7.5
P0,MS1,5,Y,E1,Written,Flight,What was the longest delayed flight,NA,NA,SELECT MAX(Departure_Time - Scheduled_Departure) FROM Flight,0,The longest flight delay was 1405 minutes.,3.5,7.5
P0,MS1,10,Y,E1,Written,Flight,Which airport had the most number of cancels,NA,NA,SELECT Origin_Airport FROM Flight GROUP BY Origin_Airport ORDER BY SUM(Cancelled) DESC LIMIT 1,0,The airport with the most cancelled flights was JFK.,3.5,7.5
P0,MS1,1,Y,E1,Written,Flight,How many flights were delayed in the past month,NA,NA,NP,0,There were 451617 flight delays in December.,3.5,7.5
P0,MS1,13,Y,E1,Written,Flight,Which airline has the most successful number of flights,NA,NA,NP,0,"Unknown identifier: ""successful""",3.5,7.5
P0,MS1,6,Y,E1,Written,Flight,How many flights were delayed on December 20th,NA,NA,NP,0,There were 451617 flight delays in December.,3.5,7.5
P0,MS1,4,Y,E1,Written,Flight,Which airport has the most number of delays,NA,NA,SELECT Origin_Airport FROM Flight GROUP BY Origin_Airport ORDER BY COUNT(*) DESC LIMIT 1,0,The origin airport with the most delays is BOS.,3.5,7.5
P0,MS1,11,Y,E1,Written,Flight,Which airline had the most number of delays in November,NA,NA,SELECT Airline FROM Flight WHERE Month = 11 GROUP BY Airline ORDER BY COUNT(*) DESC LIMIT 1,0,The airline with the most delayed flights in November was Southwest Airlines.,3.5,7.5
P0,MS1,7,Y,E1,Written,Flight,How many flights were delayed in November,NA,NA,SELECT COUNT(*) FROM Flight WHERE Month = 11,0,There were 478192 flight delays in November.,3.5,7.5
P0,MS1,8,Y,E1,Written,Flight,What was the median of the distance travelled,NA,NA,SELECT PERCENTILE_CONT(0.5) WITHIN GROUP(ORDER BY Distance) FROM Flight,0,The median distance travelled was 705 miles.,3.5,7.5
P0,MS1,16,Y,E1,Written,Flight,how many planes have the departure date of may 13th,NA,NA,NP,0,There were 416718 delays in May.,3.5,7.5
P0,MS1,12,Y,E1,Written,Flight,And by how much,NA,NA,"SELECT ((SELECT COUNT(*) FROM Flight WHERE Month = 11 GROUP BY Airline ORDER BY COUNT(*) DESC LIMIT 1) - (WITH tmp AS (SELECT Airline, COUNT(*) as cnt, ROW_NUMBER() OVER(ORDER BY COUNT(*) DESC) as seqnum FROM Flight WHERE Month = 11 GROUP BY Airline) SELECT cnt FROM tmp WHERE seqnum = 2))",1,The next closest airline was 45718 delays behind~ Delta airlines.,3.5,7.5
P0,MS1,17,Y,E1,Written,Flight,how many planes are scheduled to arrive on December 20th,NA,NA,NP,0,There were 451617 flight delays in December.,3.5,7.5
P0,MS1,14,Y,E1,Written,Flight,Which airline travels out of BOS the most,NA,NA,SELECT DISTINCT Airline FROM Flight WHERE Origin_Airport = 'BOS',0,The airline with the most flights where origin airport was BOS was JetBlue.,3.5,7.5
P0,MS1,2,Y,E2,Spoken,Credit,What is the highest credit limit?,what is the highest credit limit,what is the highest credit limit,SELECT MAX(Credit_limit) FROM Credit,0,The highest credit limit is 32617 dollars.,3.5,7.5
P0,MS1,9,Y,E2,Spoken,Credit,What is the income of a female of 61 years old?,what is the income of a female~ 61 years old,what is the income over email,SELECT Income_category FROM Credit WHERE Gender = 'F' AND Customer_age = '61' GROUP BY Income_category ORDER BY COUNT(*) DESC LIMIT 1,0,The most common income category for a Female with age equal to 61 is > $120K.,3.5,7.5
P0,MS1,10,Y,E2,Spoken,Credit,Which card category are most males in?,which card category are most males in,which card category are most males and,SELECT Card_Category FROM Credit WHERE Gender = 'M' GROUP BY Card_Category ORDER BY COUNT(*) DESC LIMIT 1,0,The most common category when Gender is Male is Blue.,3.5,7.5
P0,MS1,7,Y,E2,Spoken,Credit,How many existing customers are there under the age of 44 who are male and have a greater than 2 dependent count?,how many existing customers are there under the age of 44 who are male and have a greater than two dependents count,how many existing customers are there under the age of forty four who are male and have a greater than do the pendant down,SELECT COUNT(*) FROM Credit WHERE Attrition_Flag = 'Existing Customer' AND Customer_Age < 44 AND Gender = 'M' AND Dependent_Count > 2,0,There are 1465 customers who are under the age of 44~ Male~ and have dependent count greater than 2.,3.5,7.5
P0,MS1,15,Y,E2,Spoken,Credit,How many males are existing customers who have an income of less than 40 thousand dollars?,|how many males are existing customers who have an income of less than $40,how many males are existing customers who have an income of less than forty thousand dollars,SELECT COUNT(*) FROM Credit WHERE Gender = 'M' AND Attrition_Flag = 'Existing Customer' AND Income_Category = 'Less than $40K',0,There are 2008 Males who are Existing customers with income < $40K.,3.5,7.5
P0,MS1,1,Y,E2,Spoken,Credit,What is the most popular card category?,what is the most popular card category,what is the,SELECT Card_Category FROM Credit GROUP BY Card_Category ORDER BY COUNT(*) DESC LIMIT 1,0,The most common card category is Blue.,3.5,7.5
